id,full_name,abbreviation,nickname,city,state,year_founded,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,SEASON,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
1610612762,utah jazz,uta,jazz,utah,utah,1974,utah jazz,1610612762,82,37,45,0.451,3961.0,2022-23,112.7,113.8,-1.1,103.1,18.2,0.268,0.752,0.514,0.148,1,22,22,22,18,12,23,22,14,4,23,4,28,9
1610612762,utah jazz,uta,jazz,utah,utah,1974,utah jazz,1610612762,82,49,33,0.598,3946.0,2021-22,114.0,107.7,6.2,99.5,16.7,0.254,0.783,0.527,0.14,1,9,9,9,24,2,10,4,27,5,5,2,22,22
1610612763,memphis grizzlies,mem,grizzlies,memphis,tennessee,1995,memphis grizzlies,1610612763,71,24,47,0.338,3428.0,2023-24,104.3,111.3,-7.1,100.7,18.0,0.228,0.749,0.48,0.149,2,24,24,24,10,30,11,25,26,23,21,28,26,16
1610612763,memphis grizzlies,mem,grizzlies,memphis,tennessee,1995,memphis grizzlies,1610612763,82,51,31,0.622,3956.0,2022-23,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,1,5,5,5,22,14,2,4,15,6,18,6,6,4
1610612763,memphis grizzlies,mem,grizzlies,memphis,tennessee,1995,memphis grizzlies,1610612763,82,56,26,0.683,3956.0,2021-22,111.6,106.2,5.4,103.1,17.9,0.3,0.778,0.533,0.127,1,2,2,2,13,8,4,5,15,1,10,1,6,3
1610612764,washington wizards,was,wizards,washington,district of columbia,1961,washington wizards,1610612764,71,13,58,0.183,3413.0,2023-24,108.4,117.3,-8.9,105.0,19.5,0.205,0.719,0.455,0.133,2,29,29,29,18,25,29,29,9,29,30,30,17,1
1610612764,washington wizards,was,wizards,washington,district of columbia,1961,washington wizards,1610612764,82,35,47,0.427,3951.0,2022-23,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,1,23,23,23,25,22,21,23,13,23,15,14,17,18
1610612764,washington wizards,was,wizards,washington,district of columbia,1961,washington wizards,1610612764,82,35,47,0.427,3966.0,2021-22,108.9,111.7,-2.8,99.3,18.5,0.209,0.769,0.494,0.132,1,21,21,21,7,21,25,22,8,26,14,18,11,23
1610612765,detroit pistons,det,pistons,detroit,michigan,1948,detroit pistons,1610612765,71,12,59,0.169,3423.0,2023-24,108.1,116.6,-8.4,102.5,18.5,0.247,0.779,0.509,0.151,2,30,30,30,14,26,26,27,20,15,4,10,30,8
1610612765,detroit pistons,det,pistons,detroit,michigan,1948,detroit pistons,1610612765,82,17,65,0.207,3961.0,2022-23,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,1,30,30,30,18,27,28,28,28,10,27,24,26,15
1610612765,detroit pistons,det,pistons,detroit,michigan,1948,detroit pistons,1610612765,82,23,59,0.28,3956.0,2021-22,103.3,111.1,-7.9,100.9,17.1,0.234,0.756,0.482,0.14,1,28,28,28,13,28,24,26,24,13,23,29,19,12
1610612766,charlotte hornets,cha,hornets,charlotte,north carolina,1988,charlotte hornets,1610612766,70,17,53,0.243,3370.0,2023-24,106.4,116.7,-10.3,99.8,18.1,0.219,0.749,0.473,0.138,22,27,27,27,27,28,27,30,25,25,20,29,22,20
1610612766,charlotte hornets,cha,hornets,charlotte,north carolina,1988,charlotte hornets,1610612766,82,27,55,0.329,3966.0,2022-23,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,1,27,27,27,12,30,20,27,20,16,22,23,14,8
1610612766,charlotte hornets,cha,hornets,charlotte,north carolina,1988,charlotte hornets,1610612766,82,43,39,0.524,3976.0,2021-22,111.7,111.0,0.7,102.3,19.6,0.233,0.748,0.487,0.128,1,16,16,16,3,7,22,16,2,14,28,23,9,5
